,gene_id,ix-1-1-enriched,ix-1-1-input,ix-1-2-enriched,ix-1-2-input,ix-1-3-enriched,ix-1-3-input,ix-2-enriched,ix-2-input,ix-3-enriched,ix-3-input,mock-enriched,mock-input
0,ENSG00000223972.6,0,0,0,0,0,0,0,0,0,0,0,0
1,ENSG00000227232.6,0,0,0,1,0,0,0,1,0,1,1,1
2,ENSG00000278267.1,0,0,0,0,0,0,0,0,0,0,0,0
3,ENSG00000243485.5,0,0,0,0,0,0,0,0,0,0,0,0
4,ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0
5,ENSG00000237613.2,0,0,0,0,0,0,0,0,0,1,0,0
6,ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0,0,0
7,ENSG00000290826.1,0,0,0,0,0,0,0,0,0,0,0,0
8,ENSG00000240361.3,0,0,0,0,0,0,0,0,0,0,0,0
9,ENSG00000186092.7,0,0,0,0,0,0,0,0,0,0,0,0
10,ENSG00000238009.7,1,0,0,0,0,0,0,0,0,0,0,1
11,ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0,0,0
12,ENSG00000233750.3,0,0,0,0,0,0,0,0,0,0,0,0
13,ENSG00000268903.1,0,0,0,0,0,0,0,0,0,0,0,0
14,ENSG00000269981.1,0,0,0,0,0,0,0,0,0,0,0,0
15,ENSG00000239906.1,0,0,0,0,0,0,0,0,0,0,0,0
16,ENSG00000241860.7,0,0,0,5,0,1,1,1,0,0,2,0
17,ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0,0,0
18,ENSG00000241599.1,0,0,0,0,0,0,0,0,0,0,0,0
19,ENSG00000279928.2,0,0,0,0,0,0,0,0,0,0,0,0
20,ENSG00000279457.4,0,0,0,0,0,4,0,0,0,2,0,0
21,ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0,0,0
22,ENSG00000292994.1,0,0,0,0,4,1,0,0,0,2,0,7
23,ENSG00000228463.11,0,0,0,0,0,0,0,0,0,0,0,0
24,ENSG00000286448.1,0,0,0,0,0,0,0,0,0,0,0,0
25,ENSG00000236679.2,0,0,0,0,0,0,0,0,0,0,0,0
26,ENSG00000236601.2,0,0,0,0,0,0,0,0,0,0,0,0
