"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WSN_NP",92903.9450492549,22.0487426641256,2.08058709888264,10.5973658473451,3.06491484318423e-26,1.20323448552008e-23
"WSN_M",52777.5431738724,21.1549501054283,2.06229192432147,10.2579803838337,1.08961742204876e-24,3.94860590405515e-22
"WSN_NS",56417.8457943966,20.6514887419645,2.1065327368974,9.80354512428843,1.08702110819552e-22,3.01232731806417e-20
"WSN_PA",36047.2151975603,20.0293814339987,2.28250945544907,8.7751581427986,1.70663864062265e-18,3.28162230039727e-16
"WSN_HA",25044.1048216535,19.8981661727436,2.08160703432213,9.55904060884546,1.18853336162833e-21,3.0265841441249e-19
"WSN_PB2",67138.1878079769,17.7818232012948,1.16432611252861,15.272201670954,1.17149983418683e-52,1.83964523961806e-49
"WSN_NA",17866.2300973104,17.2032845816799,1.54149913194553,11.1601000773627,6.39195794802628e-29,3.01125138931518e-26
"WSN_PB1",155276.061970244,17.1865306191645,1.40760051592397,12.2098069905032,2.75542047662115e-34,1.62259823317028e-31
"ENSG00000252179.1",179.638329590915,13.5741292143661,2.2897390425022,5.92824289685539,3.06193352293047e-09,1.32947178124659e-07
"ENSG00000290915.1",205.190845421284,13.5721787237966,2.08698956397142,6.50323267451781,7.86120600478933e-11,4.74796685750802e-09
"ENSG00000290068.1",77.5713050815442,12.3029451410244,2.10687731391921,5.83942171655855,5.23823225639265e-09,2.19353885865474e-07
"ENSG00000253058.1",81.6288878238324,12.0619845052292,2.09845230739721,5.74803842942236,9.02847220110768e-09,3.63531047345455e-07
"ENSG00000284607.1",64.4577586565343,11.9953232596852,2.1030758665512,5.70370448849099,1.17231247203944e-08,4.60230337981484e-07
"ENSG00000260035.1",15262.4811493176,11.8537207005568,0.93439962768438,12.6859219003892,7.077614403071e-37,5.12963714659499e-34
"ENSG00000286644.1",63.8564379085632,11.7611371884708,2.07768478755364,5.66069370047174,1.50762309624283e-08,5.72775194064514e-07
"ENSG00000287001.3",128253.889201326,11.7409786802204,0.472504464813321,24.8483973264868,2.69110021873621e-136,1.26777731304663e-132
"ENSG00000157856.12",41.3061794590166,11.1551744941976,2.10716088824508,5.29393581497618,1.19711464759249e-07,3.54692270742656e-06
"ENSG00000255468.7",661.193624264442,11.0677823239665,1.1414799532199,9.69599360264393,3.13570519729894e-22,8.44131839112875e-20
"ENSG00000159450.13",32.1848581376872,11.0532474267333,2.14316740036934,5.15743540370594,2.50355176850331e-07,6.66340812509553e-06
"ENSG00000224843.8",30.3384287264423,10.8389705450536,2.16885557204468,4.9975529420962,5.80624009077353e-07,1.39202020700428e-05
"ENSG00000261889.1",3002.95104085876,10.767647129646,0.645052713226225,16.6926623342017,1.48211499172859e-62,4.65482915068893e-59
"ENSG00000253848.1",23.2102624513015,10.6100141620387,2.13025537282466,4.98063016171159,6.33775580732558e-07,1.49659988011583e-05
"ENSG00000283160.1",1644.49935767061,10.3375547733891,0.650173616134,15.8996835873736,6.368559647278e-57,1.20009137993307e-53
"ENSG00000236444.5",20.1005180281544,10.3190962089804,2.14819560165251,4.8036110869245,1.55829369290757e-06,3.34447452723807e-05
"ENSG00000178217.15",21.8362892244261,10.292918582485,2.19935499020198,4.67997145905934,2.86914855371986e-06,5.75114722003249e-05
"ENSG00000184368.16",22.7804237381727,10.2185492010362,2.14802853384743,4.75717572649431,1.96320262305629e-06,4.08328810473209e-05
"ENSG00000178977.4",482.815426110255,10.2171506365716,0.810977035322838,12.5985696160981,2.15008324091561e-36,1.44700602113621e-33
"ENSG00000225595.2",95.1656456723826,10.2089342415013,1.53987054422156,6.62973538899804,3.36289165462419e-11,2.15545341291627e-09
"ENSG00000264275.1",20.8852551244769,10.182378695445,2.1410755142433,4.7557307660135,1.97729845739672e-06,4.10354759154006e-05
"ENSG00000274010.1",18.6078297258124,10.0008356102847,2.15594996512181,4.63871415017727,3.50583546686349e-06,6.81071789047171e-05
"ENSG00000255008.5",235.253604365937,9.92983567956172,1.00624836544919,9.86817571140008,5.71953244539124e-23,1.63301317274171e-20
"ENSG00000180353.11",14.4420206101899,9.74767934138061,2.21213350983709,4.40646068514123,1.05073368868779e-05,0.000175532142106673
"ENSG00000216915.2",14.3236346077274,9.72530480195932,2.13527022498281,4.55460142148406,5.24849978927914e-06,9.67737084434208e-05
"ENSG00000224977.2",14.406452145331,9.66428799551662,2.1406450383448,4.51466161946649,6.34179428347357e-06,0.000113382136126922
"ENSG00000261519.3",12.8699725940036,9.5320465590684,2.2121936078379,4.30886633308041,1.64093499798112e-05,0.000256974608961619
"ENSG00000202515.1",14424.6347856425,9.47030268601293,0.377586151249531,25.0811706273475,7.98269259190823e-139,7.52129296009593e-135
"ENSG00000159164.10",15.8570872096673,9.28378548493069,2.17349106082112,4.27137044742359,1.94275377102224e-05,0.000292874016489145
"ENSG00000177238.15",14.8097974704049,9.27087160118055,2.15945829416401,4.29314686291247,1.76158399419018e-05,0.000272539316802298
"ENSG00000259687.4",12.0132151000564,9.20940219551306,2.19959134434525,4.18686962884662,2.82828170538861e-05,0.000404020496533093
"ENSG00000135114.14",18.8087525313846,9.18154603989094,2.11904905162778,4.33286149409236,1.47183712535391e-05,0.000234250834376428
"ENSG00000273338.1",15.7870900594385,9.11195047278831,2.21294946517414,4.11755921957814,3.8290615552107e-05,0.000527447631187064
"ENSG00000204248.12",9.93682238937056,9.10090285065147,2.25547597458729,4.03502540181868,5.4596390679112e-05,0.000709000803855117
"ENSG00000207357.1",14.6001263364221,9.09382040808247,2.12799412092426,4.27342365219164,1.92494215658009e-05,0.000291588504811859
"ENSG00000289298.2",14.6752311592306,9.08125775170335,2.14957630534124,4.2246733596469,2.39287591232093e-05,0.000351178767069904
"ENSG00000196218.15",9.84476044863226,8.88973397114276,2.25146004704123,3.94843070070254,7.86651807097864e-05,0.000968867101500141
"ENSG00000264910.2",41.1235134798699,8.87380320579832,1.55211841698737,5.7172204831009,1.08280582871868e-08,4.32296462635061e-07
"ENSG00000267011.5",9.46299106471203,8.86964732931051,2.28095373507958,3.88856958951036,0.00010083675925472,0.00118464332381294
"ENSG00000173110.8",142.326918767252,8.83222430105099,1.06064727721988,8.32720216300524,8.27753215214135e-17,1.36826154276273e-14
"ENSG00000283683.2",10.1402778419192,8.81234755841054,2.15634525109373,4.08670529635307,4.375423241432e-05,0.000590619452446595
"ENSG00000223131.1",34.8290142515548,8.79600955634585,1.54394934998656,5.69708427055745,1.2187369634733e-08,4.7254895760681e-07
"ENSG00000006837.12",9.43904585417795,8.74066123689949,2.1952191901892,3.98168040620407,6.84297522785197e-05,0.000863112618431342
"ENSG00000269053.1",69.0914103173011,8.7141726548329,1.17383495609469,7.42367792813449,1.13911964102846e-13,1.06265200571981e-11
"ENSG00000207359.1",34.3625158904714,8.66347694486996,1.55835437659847,5.5593753737711,2.70741839989928e-08,9.60366293650521e-07
"ENSG00000232611.1",9.4037614374362,8.56962839574986,2.17751827748003,3.93550239480295,8.30228363183029e-05,0.00101326575620602
"ENSG00000289943.1",8.77545919454794,8.56294469682239,2.17769400418284,3.93211566013175,8.42015342071304e-05,0.00102235419497369
"ENSG00000184697.7",30.2208026498533,8.54516716210628,1.54157392082761,5.54314460478075,2.97087316279478e-08,1.03672470147602e-06
"ENSG00000166796.12",10.6121379172055,8.49339483291775,2.16630328016499,3.92068594950882,8.8297272196049e-05,0.00106249923196829
"ENSG00000259363.6",143.703453051542,8.47015773338178,0.830217911703945,10.2023307543408,1.93570476096606e-24,6.75489268808231e-22
"ENSG00000115556.14",8.54737990772602,8.46526097463846,2.20659598867826,3.83634386089369,0.000124879528301085,0.001415902425575
"ENSG00000289866.1",9.11415419256176,8.46289023204117,2.21703804608016,3.81720568440582,0.000134971645765811,0.00151213180309806
"ENSG00000277475.1",6.27817987705315,8.40964999705185,2.36633935498844,3.55386474020458,0.000379614397720248,0.00359307060596015
"ENSG00000202337.1",387.881155023974,8.37726561970389,1.00189039705159,8.3614591419949,6.19472510626081e-17,1.04226249912838e-14
"ENSG00000148677.7",126.591294909018,8.37675959548842,0.88282691140443,9.48856393849888,2.34238864001706e-21,5.6589707092925e-19
"ENSG00000010295.20",6.88640811056576,8.37076824572125,2.22587232637786,3.76066863607713,0.00016945978817596,0.00184583829386577
"ENSG00000259932.1",852.485068480271,8.35673256244399,0.591160901032655,14.136138820829,2.27424872304037e-45,2.14279714684863e-42
"ENSG00000289138.1",6.01934909547504,8.35122788962346,2.27427422774222,3.67204085934443,0.000240621198826473,0.0024831300638106
